month,type,time_start,duration
2022-09,longest,2022-09-29 23:00:00,3540.0
2022-09,shortest,2022-09-29 23:00:00,3540.0
2022-10,longest,2022-10-10 06:00:00,28800.0
2022-10,shortest,2022-10-26 22:00:00,7140.0
2022-11,longest,2022-11-01 23:00:00,7200.0
2022-11,shortest,2022-11-01 23:00:00,7200.0
2022-12,longest,2022-12-31 13:00:00,10800.0
2022-12,shortest,2022-12-31 13:00:00,10800.0
2023-02,longest,2023-02-09 21:50:00,51000.0
2023-02,shortest,2023-02-16 01:40:00,7500.0
2023-03,longest,2023-03-21 23:30:00,16200.0
2023-03,shortest,2023-03-27 21:40:00,7800.0
2023-04,longest,2023-04-21 19:00:00,17400.0
2023-04,shortest,2023-04-28 04:00:00,7200.0
2023-05,longest,2023-05-17 21:00:00,30600.0
2023-05,shortest,2023-05-09 04:00:00,7200.0
2023-06,longest,2023-06-09 23:00:00,21600.0
2023-06,shortest,2023-06-04 01:00:00,10800.0
2023-07,longest,2023-07-13 22:00:00,21600.0
2023-07,shortest,2023-07-26 19:00:00,5400.0
2023-08,longest,2023-08-05 22:00:00,25200.0
2023-08,shortest,2023-08-14 14:00:00,1800.0
2023-09,longest,2023-09-21 03:00:00,21600.0
2023-09,shortest,2023-09-13 21:00:00,19800.0
2023-10,longest,2023-10-18 20:00:00,32400.0
2023-10,shortest,2023-10-18 20:00:00,32400.0
2023-11,longest,2023-11-17 20:00:00,28800.0
2023-11,shortest,2023-11-05 20:00:00,14340.0
2023-12,longest,2023-12-13 19:00:00,46800.0
2023-12,shortest,2023-12-29 06:30:00,10800.0
2024-01,longest,2024-01-01 14:00:00,18000.0
2024-01,shortest,2024-01-13 06:50:00,4200.0
2024-03,longest,2024-03-22 02:00:00,25200.0
2024-03,shortest,2024-03-22 02:00:00,25200.0
2024-07,longest,2024-07-08 09:00:00,3600.0
2024-07,shortest,2024-07-08 09:00:00,3600.0
2024-08,longest,2024-08-26 03:00:00,54000.0
2024-08,shortest,2024-08-26 03:00:00,54000.0
2024-09,longest,2024-09-29 19:00:00,46800.0
2024-09,shortest,2024-09-04 05:40:00,600.0
2024-10,longest,2024-10-25 19:00:00,61200.0
2024-10,shortest,2024-10-07 08:20:00,600.0
2024-11,longest,2024-11-12 15:00:00,68400.0
2024-11,shortest,2024-11-14 21:30:00,1800.0
2024-12,longest,2024-12-30 07:20:00,90000.0
2024-12,shortest,2024-12-31 02:50:00,3000.0
2025-01,longest,2025-01-21 19:00:00,54000.0
2025-01,shortest,2025-01-23 04:00:00,1800.0
2025-02,longest,2025-02-24 19:00:00,57600.0
2025-02,shortest,2025-02-16 04:30:00,600.0
2025-03,longest,2025-03-27 18:00:00,54000.0
2025-03,shortest,2025-03-07 00:40:00,21600.0
2025-04,longest,2025-04-05 05:30:00,89400.0
2025-04,shortest,2025-04-06 05:00:00,900.0
